data,produto,categoria,quantidade,preco,custo,promocao
2024-09-03,Pudim (fatia),Doces,22,10.0,3.2,0
2024-09-03,Pão de batata,Salgados,68,6.0,1.8,0
2024-09-03,Pão de forma caseiro,Pães,18,12.0,4.5,0
2024-09-03,Pão de queijo,Pães,188,3.5,1.1,0
2024-09-03,Pão francês,Pães,911,0.9,0.3,0
2024-09-03,Pão na chapa,Lanches,115,6.0,1.5,0
2024-09-03,Sanduíche natural,Lanches,68,14.0,5.5,0
2024-09-03,Sonho,Doces,67,6.0,1.9,0
2024-09-03,Suco de laranja natural,Bebidas,101,9.0,3.0,0
2024-09-03,Torta de limão (fatia),Doces,21,11.0,3.5,0
2024-09-04,Baguete,Pães,51,8.0,2.6,0
2024-09-04,Bolo de cenoura (fatia),Doces,49,7.0,2.0,0
2024-09-04,Brigadeiro,Doces,73,3.0,0.9,0
2024-09-04,Coxinha,Salgados,86,7.5,2.3,0
2024-09-04,Croissant,Pães,57,7.0,2.4,0
2024-09-04,Empada de frango,Salgados,45,7.0,2.2,0
2024-09-04,Esfiha de carne,Salgados,70,6.5,2.0,0
2024-09-04,Misto quente,Lanches,78,9.0,3.0,0
2024-09-04,Pudim (fatia),Doces,22,10.0,3.2,0
2024-09-04,Pão de batata,Salgados,64,6.0,1.8,0
2024-09-04,Pão de forma caseiro,Pães,38,12.0,4.5,0
2024-09-04,Pão de queijo,Pães,218,3.5,1.1,0
2024-09-04,Pão francês,Pães,713,0.9,0.3,0
2024-09-04,Pão na chapa,Lanches,85,6.0,1.5,0
2024-09-04,Sanduíche natural,Lanches,28,14.0,5.5,0
2024-09-04,Sonho,Doces,37,6.0,1.9,0
2024-09-04,Suco de laranja natural,Bebidas,76,9.0,3.0,0
2024-09-04,Torta de limão (fatia),Doces,25,11.0,3.5,0
2024-09-05,Baguete,Pães,27,8.0,2.6,0
2024-09-05,Bolo de cenoura (fatia),Doces,30,7.0,2.0,0
2024-09-05,Brigadeiro,Doces,112,3.0,0.9,0
2024-09-05,Coxinha,Salgados,92,7.5,2.3,0
2024-09-05,Croissant,Pães,48,7.0,2.4,0
2024-09-05,Empada de frango,Salgados,93,7.0,2.2,0
2024-09-05,Esfiha de carne,Salgados,165,6.5,2.0,0
2024-09-05,Misto quente,Lanches,71,9.0,3.0,0
2024-09-05,Pudim (fatia),Doces,32,10.0,3.2,0
2024-09-05,Pão de batata,Salgados,58,6.0,1.8,0
2024-09-05,Pão de forma caseiro,Pães,13,12.0,4.5,0
2024-09-05,Pão de queijo,Pães,316,3.5,1.1,0
2024-09-05,Pão francês,Pães,1384,0.9,0.3,0
2024-09-05,Pão na chapa,Lanches,100,6.0,1.5,0
2024-09-05,Sanduíche natural,Lanches,37,14.0,5.5,0
2024-09-05,Sonho,Doces,105,5.1,1.9,1
2024-09-05,Suco de laranja natural,Bebidas,65,9.0,3.0,0
2024-09-05,Torta de limão (fatia),Doces,28,11.0,3.5,0
2024-09-06,Baguete,Pães,56,8.0,2.6,0
2024-09-06,Bolo de cenoura (fatia),Doces,91,7.0,2.0,0
2024-09-06,Brigadeiro,Doces,94,3.0,0.9,0
2024-09-06,Coxinha,Salgados,120,7.5,2.3,0
2024-09-06,Croissant,Pães,66,7.0,2.4,0
2024-09-06,Empada de frango,Salgados,94,7.0,2.2,0
2024-09-06,Esfiha de carne,Salgados,60,6.5,2.0,0
2024-09-06,Misto quente,Lanches,90,9.0,3.0,0
2024-09-06,Pudim (fatia),Doces,24,10.0,3.2,0
2024-09-06,Pão de batata,Salgados,91,6.0,1.8,0
2024-09-06,Pão de forma caseiro,Pães,23,12.0,4.5,0
2024-09-06,Pão de queijo,Pães,151,3.5,1.1,0
2024-09-06,Pão francês,Pães,1100,0.9,0.3,0
2024-09-06,Pão na chapa,Lanches,162,6.0,1.5,0
2024-09-06,Sanduíche natural,Lanches,66,14.0,5.5,0
2024-09-06,Sonho,Doces,64,6.0,1.9,0
2024-09-06,Suco de laranja natural,Bebidas,91,9.0,3.0,0
2024-09-06,Torta de limão (fatia),Doces,57,9.35,3.5,1
2024-09-07,Baguete,Pães,72,8.0,2.6,0
2024-09-07,Bolo de cenoura (fatia),Doces,77,7.0,2.0,0
2024-09-07,Brigadeiro,Doces,184,3.0,0.9,0
2024-09-07,Coxinha,Salgados,90,7.5,2.3,0
2024-09-07,Croissant,Pães,108,7.0,2.4,0
2024-09-07,Empada de frango,Salgados,38,7.0,2.2,0
2024-09-07,Esfiha de carne,Salgados,65,6.5,2.0,0
2024-09-07,Misto quente,Lanches,38,9.0,3.0,0
2024-09-07,Pudim (fatia),Doces,21,10.0,3.2,0
2024-09-07,Pão de batata,Salgados,48,6.0,1.8,0
2024-09-07,Pão de forma caseiro,Pães,30,12.0,4.5,0
2024-09-07,Pão de queijo,Pães,276,3.5,1.1,0
2024-09-07,Pão francês,Pães,1104,0.9,0.3,0
2024-09-07,Pão na chapa,Lanches,264,5.1,1.5,1
2024-09-07,Sanduíche natural,Lanches,47,14.0,5.5,0
2024-09-07,Sonho,Doces,78,6.0,1.9,0
2024-09-07,Suco de laranja natural,Bebidas,80,9.0,3.0,0
2024-09-07,Torta de limão (fatia),Doces,57,11.0,3.5,0
2024-09-08,Baguete,Pães,32,8.0,2.6,0
2024-09-08,Bolo de cenoura (fatia),Doces,79,7.0,2.0,0
2024-09-08,Brigadeiro,Doces,112,3.0,0.9,0
2024-09-08,Coxinha,Salgados,119,7.5,2.3,0
2024-09-08,Croissant,Pães,40,7.0,2.4,0
2024-09-08,Empada de frango,Salgados,36,7.0,2.2,0
2024-09-08,Esfiha de carne,Salgados,58,6.5,2.0,0
2024-09-08,Misto quente,Lanches,50,9.0,3.0,0
2024-09-08,Pudim (fatia),Doces,28,8.5,3.2,1
2024-09-08,Pão de batata,Salgados,29,6.0,1.8,0
2024-09-08,Pão de forma caseiro,Pães,40,12.0,4.5,0
2024-09-08,Pão de queijo,Pães,253,3.5,1.1,0
2024-09-08,Pão francês,Pães,1095,0.9,0.3,0
2024-09-08,Pão na chapa,Lanches,237,5.1,1.5,1
2024-09-08,Sanduíche natural,Lanches,29,14.0,5.5,0
2024-09-08,Sonho,Doces,93,6.0,1.9,0
2024-09-08,Suco de laranja natural,Bebidas,140,7.65,3.0,1
2024-09-08,Torta de limão (fatia),Doces,48,11.0,3.5,0
2024-09-09,Baguete,Pães,49,8.0,2.6,0
2024-09-09,Bolo de cenoura (fatia),Doces,67,7.0,2.0,0
2024-09-09,Brigadeiro,Doces,91,3.0,0.9,0
2024-09-09,Coxinha,Salgados,125,7.5,2.3,0
2024-09-09,Croissant,Pães,60,7.0,2.4,0
2024-09-09,Empada de frango,Salgados,39,7.0,2.2,0
2024-09-09,Esfiha de carne,Salgados,89,6.5,2.0,0
2024-09-09,Misto quente,Lanches,40,9.0,3.0,0
2024-09-09,Pudim (fatia),Doces,17,10.0,3.2,0
2024-09-09,Pão de batata,Salgados,93,6.0,1.8,0
2024-09-09,Pão de forma caseiro,Pães,27,12.0,4.5,0
2024-09-09,Pão de queijo,Pães,211,3.5,1.1,0
2024-09-09,Pão francês,Pães,1088,0.9,0.3,0
2024-09-09,Pão na chapa,Lanches,134,6.0,1.5,0
2024-09-09,Sanduíche natural,Lanches,47,14.0,5.5,0
2024-09-09,Sonho,Doces,26,6.0,1.9,0
2024-09-09,Suco de laranja natural,Bebidas,47,9.0,3.0,0
2024-09-09,Torta de limão (fatia),Doces,31,9.35,3.5,1
2024-09-10,Baguete,Pães,13,8.0,2.6,0
2024-09-10,Bolo de cenoura (fatia),Doces,48,7.0,2.0,0
2024-09-10,Brigadeiro,Doces,100,3.0,0.9,0
2024-09-10,Coxinha,Salgados,107,7.5,2.3,0
2024-09-10,Croissant,Pães,39,7.0,2.4,0
2024-09-10,Empada de frango,Salgados,97,7.0,2.2,0
2024-09-10,Esfiha de carne,Salgados,77,6.5,2.0,0
2024-09-10,Misto quente,Lanches,176,9.0,3.0,0
2024-09-10,Pudim (fatia),Doces,24,10.0,3.2,0
2024-09-10,Pão de batata,Salgados,77,6.0,1.8,0
2024-09-10,Pão de forma caseiro,Pães,12,12.0,4.5,0
2024-09-10,Pão de queijo,Pães,142,3.5,1.1,0
2024-09-10,Pão francês,Pães,907,0.9,0.3,0
2024-09-10,Pão na chapa,Lanches,105,6.0,1.5,0
2024-09-10,Sanduíche natural,Lanches,42,14.0,5.5,0
2024-09-10,Sonho,Doces,35,6.0,1.9,0
2024-09-10,Suco de laranja natural,Bebidas,73,9.0,3.0,0
2024-09-10,Torta de limão (fatia),Doces,49,11.0,3.5,0
2024-09-11,Baguete,Pães,60,8.0,2.6,0
2024-09-11,Bolo de cenoura (fatia),Doces,43,7.0,2.0,0
2024-09-11,Brigadeiro,Doces,134,3.0,0.9,0
2024-09-11,Coxinha,Salgados,88,7.5,2.3,0
2024-09-11,Croissant,Pães,39,7.0,2.4,0
2024-09-11,Empada de frango,Salgados,62,7.0,2.2,0
2024-09-11,Esfiha de carne,Salgados,58,6.5,2.0,0
2024-09-11,Misto quente,Lanches,81,7.65,3.0,1
2024-09-11,Pudim (fatia),Doces,25,10.0,3.2,0
2024-09-11,Pão de batata,Salgados,77,6.0,1.8,0
2024-09-11,Pão de forma caseiro,Pães,24,12.0,4.5,0
2024-09-11,Pão de queijo,Pães,212,3.5,1.1,0
2024-09-11,Pão francês,Pães,1067,0.9,0.3,0
2024-09-11,Pão na chapa,Lanches,94,6.0,1.5,0
2024-09-11,Sanduíche natural,Lanches,44,14.0,5.5,0
2024-09-11,Sonho,Doces,53,6.0,1.9,0
2024-09-11,Suco de laranja natural,Bebidas,57,9.0,3.0,0
2024-09-11,Torta de limão (fatia),Doces,32,11.0,3.5,0
2024-09-12,Baguete,Pães,53,8.0,2.6,0
2024-09-12,Bolo de cenoura (fatia),Doces,29,7.0,2.0,0
2024-09-12,Brigadeiro,Doces,55,3.0,0.9,0
2024-09-12,Coxinha,Salgados,154,7.5,2.3,0
2024-09-12,Croissant,Pães,61,7.0,2.4,0
2024-09-12,Empada de frango,Salgados,34,7.0,2.2,0
2024-09-12,Esfiha de carne,Salgados,118,6.5,2.0,0
2024-09-12,Misto quente,Lanches,81,9.0,3.0,0
2024-09-12,Pudim (fatia),Doces,29,10.0,3.2,0
2024-09-12,Pão de batata,Salgados,64,6.0,1.8,0
2024-09-12,Pão de forma caseiro,Pães,29,12.0,4.5,0
2024-09-12,Pão de queijo,Pães,221,3.5,1.1,0
2024-09-12,Pão francês,Pães,903,0.9,0.3,0
2024-09-12,Pão na chapa,Lanches,91,6.0,1.5,0
2024-09-12,Sanduíche natural,Lanches,48,14.0,5.5,0
2024-09-12,Sonho,Doces,30,6.0,1.9,0
2024-09-12,Suco de laranja natural,Bebidas,45,9.0,3.0,0
2024-09-12,Torta de limão (fatia),Doces,27,11.0,3.5,0
2024-09-13,Baguete,Pães,47,8.0,2.6,0
2024-09-13,Bolo de cenoura (fatia),Doces,30,7.0,2.0,0
2024-09-13,Brigadeiro,Doces,142,3.0,0.9,0
2024-09-13,Coxinha,Salgados,145,7.5,2.3,0
2024-09-13,Croissant,Pães,45,7.0,2.4,0
2024-09-13,Empada de frango,Salgados,82,7.0,2.2,0
2024-09-13,Esfiha de carne,Salgados,67,6.5,2.0,0
2024-09-13,Misto quente,Lanches,75,9.0,3.0,0
2024-09-13,Pudim (fatia),Doces,30,10.0,3.2,0
2024-09-13,Pão de batata,Salgados,93,6.0,1.8,0
2024-09-13,Pão de forma caseiro,Pães,27,12.0,4.5,0
2024-09-13,Pão de queijo,Pães,222,3.5,1.1,0
2024-09-13,Pão francês,Pães,1067,0.9,0.3,0
2024-09-13,Pão na chapa,Lanches,89,6.0,1.5,0
2024-09-13,Sanduíche natural,Lanches,51,14.0,5.5,0
2024-09-13,Sonho,Doces,57,6.0,1.9,0
2024-09-13,Suco de laranja natural,Bebidas,63,9.0,3.0,0
2024-09-13,Torta de limão (fatia),Doces,42,11.0,3.5,0
2024-09-14,Baguete,Pães,41,8.0,2.6,0
2024-09-14,Bolo de cenoura (fatia),Doces,106,7.0,2.0,0
2024-09-14,Brigadeiro,Doces,143,3.0,0.9,0
2024-09-14,Coxinha,Salgados,106,7.5,2.3,0
2024-09-14,Croissant,Pães,67,5.95,2.4,1
2024-09-14,Empada de frango,Salgados,58,7.0,2.2,0
2024-09-14,Esfiha de carne,Salgados,74,6.5,2.0,0
2024-09-14,Misto quente,Lanches,70,7.65,3.0,1
2024-09-14,Pudim (fatia),Doces,23,10.0,3.2,0
2024-09-14,Pão de batata,Salgados,90,6.0,1.8,0
2024-09-14,Pão de forma caseiro,Pães,30,12.0,4.5,0
2024-09-14,Pão de queijo,Pães,188,3.5,1.1,0
2024-09-14,Pão francês,Pães,858,0.9,0.3,0
2024-09-14,Pão na chapa,Lanches,144,6.0,1.5,0
2024-09-14,Sanduíche natural,Lanches,58,14.0,5.5,0
2024-09-14,Sonho,Doces,55,6.0,1.9,0
2024-09-14,Suco de laranja natural,Bebidas,99,9.0,3.0,0
2024-09-14,Torta de limão (fatia),Doces,43,11.0,3.5,0
2024-09-15,Baguete,Pães,34,8.0,2.6,0
2024-09-15,Bolo de cenoura (fatia),Doces,68,7.0,2.0,0
2024-09-15,Brigadeiro,Doces,109,3.0,0.9,0
2024-09-15,Coxinha,Salgados,103,6.38,2.3,1
2024-09-15,Croissant,Pães,106,7.0,2.4,0
2024-09-15,Empada de frango,Salgados,47,7.0,2.2,0
2024-09-15,Esfiha de carne,Salgados,54,6.5,2.0,0
2024-09-15,Misto quente,Lanches,67,9.0,3.0,0
2024-09-15,Pudim (fatia),Doces,49,8.5,3.2,1
2024-09-15,Pão de batata,Salgados,72,6.0,1.8,0
2024-09-15,Pão de forma caseiro,Pães,36,12.0,4.5,0
2024-09-15,Pão de queijo,Pães,296,3.5,1.1,0
2024-09-15,Pão francês,Pães,1188,0.9,0.3,0
2024-09-15,Pão na chapa,Lanches,136,6.0,1.5,0
2024-09-15,Sanduíche natural,Lanches,48,14.0,5.5,0
2024-09-15,Sonho,Doces,66,6.0,1.9,0
2024-09-15,Suco de laranja natural,Bebidas,113,9.0,3.0,0
2024-09-15,Torta de limão (fatia),Doces,54,11.0,3.5,0
2024-09-16,Baguete,Pães,55,8.0,2.6,0
2024-09-16,Bolo de cenoura (fatia),Doces,34,7.0,2.0,0
2024-09-16,Brigadeiro,Doces,62,3.0,0.9,0
2024-09-16,Coxinha,Salgados,148,7.5,2.3,0
2024-09-16,Croissant,Pães,62,7.0,2.4,0
2024-09-16,Empada de frango,Salgados,90,7.0,2.2,0
2024-09-16,Esfiha de carne,Salgados,99,6.5,2.0,0
2024-09-16,Misto quente,Lanches,94,9.0,3.0,0
2024-09-16,Pudim (fatia),Doces,21,10.0,3.2,0
2024-09-16,Pão de batata,Salgados,92,6.0,1.8,0
2024-09-16,Pão de forma caseiro,Pães,29,12.0,4.5,0
2024-09-16,Pão de queijo,Pães,196,3.5,1.1,0
2024-09-16,Pão francês,Pães,752,0.9,0.3,0
2024-09-16,Pão na chapa,Lanches,93,6.0,1.5,0
2024-09-16,Sanduíche natural,Lanches,66,14.0,5.5,0
2024-09-16,Sonho,Doces,73,6.0,1.9,0
2024-09-16,Suco de laranja natural,Bebidas,43,9.0,3.0,0
2024-09-16,Torta de limão (fatia),Doces,28,11.0,3.5,0
2024-09-17,Baguete,Pães,31,8.0,2.6,0
2024-09-17,Bolo de cenoura (fatia),Doces,25,7.0,2.0,0
2024-09-17,Brigadeiro,Doces,91,3.0,0.9,0
2024-09-17,Coxinha,Salgados,112,7.5,2.3,0
2024-09-17,Croissant,Pães,47,7.0,2.4,0
2024-09-17,Empada de frango,Salgados,73,7.0,2.2,0
2024-09-17,Esfiha de carne,Salgados,45,6.5,2.0,0
2024-09-17,Misto quente,Lanches,164,9.0,3.0,0
2024-09-17,Pudim (fatia),Doces,30,10.0,3.2,0
2024-09-17,Pão de batata,Salgados,82,6.0,1.8,0
2024-09-17,Pão de forma caseiro,Pães,22,12.0,4.5,0
2024-09-17,Pão de queijo,Pães,127,3.5,1.1,0
2024-09-17,Pão francês,Pães,792,0.9,0.3,0
2024-09-17,Pão na chapa,Lanches,80,6.0,1.5,0
2024-09-17,Sanduíche natural,Lanches,25,14.0,5.5,0
2024-09-17,Sonho,Doces,61,6.0,1.9,0
2024-09-17,Suco de laranja natural,Bebidas,79,9.0,3.0,0
2024-09-17,Torta de limão (fatia),Doces,17,11.0,3.5,0
2024-09-18,Baguete,Pães,23,8.0,2.6,0
2024-09-18,Bolo de cenoura (fatia),Doces,30,7.0,2.0,0
2024-09-18,Brigadeiro,Doces,123,3.0,0.9,0
2024-09-18,Coxinha,Salgados,82,7.5,2.3,0
2024-09-18,Croissant,Pães,83,5.95,2.4,1
2024-09-18,Empada de frango,Salgados,112,7.0,2.2,0
2024-09-18,Esfiha de carne,Salgados,86,6.5,2.0,0
2024-09-18,Misto quente,Lanches,74,9.0,3.0,0
2024-09-18,Pudim (fatia),Doces,26,10.0,3.2,0
2024-09-18,Pão de batata,Salgados,71,6.0,1.8,0
2024-09-18,Pão de forma caseiro,Pães,11,12.0,4.5,0
2024-09-18,Pão de queijo,Pães,120,3.5,1.1,0
2024-09-18,Pão francês,Pães,983,0.9,0.3,0
2024-09-18,Pão na chapa,Lanches,151,6.0,1.5,0
2024-09-18,Sanduíche natural,Lanches,40,14.0,5.5,0
2024-09-18,Sonho,Doces,36,6.0,1.9,0
2024-09-18,Suco de laranja natural,Bebidas,67,9.0,3.0,0
2024-09-18,Torta de limão (fatia),Doces,42,11.0,3.5,0
2024-09-19,Baguete,Pães,52,8.0,2.6,0
2024-09-19,Bolo de cenoura (fatia),Doces,60,7.0,2.0,0
2024-09-19,Brigadeiro,Doces,59,3.0,0.9,0
2024-09-19,Coxinha,Salgados,110,7.5,2.3,0
2024-09-19,Croissant,Pães,83,7.0,2.4,0
2024-09-19,Empada de frango,Salgados,43,7.0,2.2,0
2024-09-19,Esfiha de carne,Salgados,136,5.52,2.0,1
2024-09-19,Misto quente,Lanches,59,9.0,3.0,0
2024-09-19,Pudim (fatia),Doces,17,10.0,3.2,0
2024-09-19,Pão de batata,Salgados,32,6.0,1.8,0
2024-09-19,Pão de forma caseiro,Pães,7,12.0,4.5,0
2024-09-19,Pão de queijo,Pães,181,3.5,1.1,0
2024-09-19,Pão francês,Pães,1045,0.9,0.3,0
2024-09-19,Pão na chapa,Lanches,123,6.0,1.5,0
2024-09-19,Sanduíche natural,Lanches,43,14.0,5.5,0
2024-09-19,Sonho,Doces,64,6.0,1.9,0
2024-09-19,Suco de laranja natural,Bebidas,108,7.65,3.0,1
2024-09-19,Torta de limão (fatia),Doces,14,11.0,3.5,0
2024-09-20,Baguete,Pães,41,8.0,2.6,0
2024-09-20,Bolo de cenoura (fatia),Doces,34,7.0,2.0,0
2024-09-20,Brigadeiro,Doces,36,3.0,0.9,0
2024-09-20,Coxinha,Salgados,185,7.5,2.3,0
2024-09-20,Croissant,Pães,57,7.0,2.4,0
2024-09-20,Empada de frango,Salgados,82,7.0,2.2,0
2024-09-20,Esfiha de carne,Salgados,89,6.5,2.0,0
2024-09-20,Misto quente,Lanches,65,9.0,3.0,0
2024-09-20,Pudim (fatia),Doces,17,10.0,3.2,0
2024-09-20,Pão de batata,Salgados,78,6.0,1.8,0
2024-09-20,Pão de forma caseiro,Pães,44,12.0,4.5,0
2024-09-20,Pão de queijo,Pães,232,3.5,1.1,0
2024-09-20,Pão francês,Pães,1034,0.9,0.3,0
2024-09-20,Pão na chapa,Lanches,128,6.0,1.5,0
2024-09-20,Sanduíche natural,Lanches,47,14.0,5.5,0
2024-09-20,Sonho,Doces,64,6.0,1.9,0
2024-09-20,Suco de laranja natural,Bebidas,52,9.0,3.0,0
2024-09-20,Torta de limão (fatia),Doces,28,11.0,3.5,0
2024-09-21,Baguete,Pães,42,8.0,2.6,0
2024-09-21,Bolo de cenoura (fatia),Doces,50,7.0,2.0,0
2024-09-21,Brigadeiro,Doces,164,3.0,0.9,0
2024-09-21,Coxinha,Salgados,154,7.5,2.3,0
2024-09-21,Croissant,Pães,126,7.0,2.4,0
2024-09-21,Empada de frango,Salgados,32,7.0,2.2,0
2024-09-21,Esfiha de carne,Salgados,53,6.5,2.0,0
2024-09-21,Misto quente,Lanches,61,9.0,3.0,0
2024-09-21,Pudim (fatia),Doces,21,10.0,3.2,0
2024-09-21,Pão de batata,Salgados,76,6.0,1.8,0
2024-09-21,Pão de forma caseiro,Pães,46,12.0,4.5,0
2024-09-21,Pão de queijo,Pães,196,3.5,1.1,0
2024-09-21,Pão francês,Pães,1400,0.9,0.3,0
2024-09-21,Pão na chapa,Lanches,113,6.0,1.5,0
2024-09-21,Sanduíche natural,Lanches,42,14.0,5.5,0
2024-09-21,Sonho,Doces,57,6.0,1.9,0
2024-09-21,Suco de laranja natural,Bebidas,68,9.0,3.0,0
2024-09-21,Torta de limão (fatia),Doces,70,11.0,3.5,0
2024-09-22,Baguete,Pães,46,8.0,2.6,0
2024-09-22,Bolo de cenoura (fatia),Doces,68,7.0,2.0,0
2024-09-22,Brigadeiro,Doces,171,3.0,0.9,0
2024-09-22,Coxinha,Salgados,96,7.5,2.3,0
2024-09-22,Croissant,Pães,103,5.95,2.4,1
2024-09-22,Empada de frango,Salgados,44,7.0,2.2,0
2024-09-22,Esfiha de carne,Salgados,50,6.5,2.0,0
2024-09-22,Misto quente,Lanches,86,9.0,3.0,0
2024-09-22,Pudim (fatia),Doces,28,10.0,3.2,0
2024-09-22,Pão de batata,Salgados,24,6.0,1.8,0
2024-09-22,Pão de forma caseiro,Pães,35,12.0,4.5,0
2024-09-22,Pão de queijo,Pães,268,3.5,1.1,0
2024-09-22,Pão francês,Pães,1085,0.9,0.3,0
2024-09-22,Pão na chapa,Lanches,150,6.0,1.5,0
2024-09-22,Sanduíche natural,Lanches,28,14.0,5.5,0
2024-09-22,Sonho,Doces,46,6.0,1.9,0
2024-09-22,Suco de laranja natural,Bebidas,83,9.0,3.0,0
2024-09-22,Torta de limão (fatia),Doces,20,11.0,3.5,0
2024-09-23,Baguete,Pães,65,8.0,2.6,0
2024-09-23,Bolo de cenoura (fatia),Doces,39,7.0,2.0,0
2024-09-23,Brigadeiro,Doces,72,3.0,0.9,0
2024-09-23,Coxinha,Salgados,139,7.5,2.3,0
2024-09-23,Croissant,Pães,55,7.0,2.4,0
2024-09-23,Empada de frango,Salgados,31,7.0,2.2,0
2024-09-23,Esfiha de carne,Salgados,106,6.5,2.0,0
2024-09-23,Misto quente,Lanches,56,9.0,3.0,0
2024-09-23,Pudim (fatia),Doces,12,10.0,3.2,0
2024-09-23,Pão de batata,Salgados,29,6.0,1.8,0
2024-09-23,Pão de forma caseiro,Pães,29,12.0,4.5,0
2024-09-23,Pão de queijo,Pães,208,3.5,1.1,0
2024-09-23,Pão francês,Pães,859,0.9,0.3,0
2024-09-23,Pão na chapa,Lanches,101,5.1,1.5,1
2024-09-23,Sanduíche natural,Lanches,24,14.0,5.5,0
2024-09-23,Sonho,Doces,32,6.0,1.9,0
2024-09-23,Suco de laranja natural,Bebidas,58,9.0,3.0,0
2024-09-23,Torta de limão (fatia),Doces,24,11.0,3.5,0
2024-09-24,Baguete,Pães,29,8.0,2.6,0
2024-09-24,Bolo de cenoura (fatia),Doces,73,7.0,2.0,0
2024-09-24,Brigadeiro,Doces,47,3.0,0.9,0
2024-09-24,Coxinha,Salgados,90,7.5,2.3,0
2024-09-24,Croissant,Pães,76,7.0,2.4,0
2024-09-24,Empada de frango,Salgados,77,7.0,2.2,0
2024-09-24,Esfiha de carne,Salgados,64,6.5,2.0,0
2024-09-24,Misto quente,Lanches,98,9.0,3.0,0
2024-09-24,Pudim (fatia),Doces,20,10.0,3.2,0
2024-09-24,Pão de batata,Salgados,68,6.0,1.8,0
2024-09-24,Pão de forma caseiro,Pães,30,12.0,4.5,0
2024-09-24,Pão de queijo,Pães,142,3.5,1.1,0
2024-09-24,Pão francês,Pães,731,0.9,0.3,0
2024-09-24,Pão na chapa,Lanches,169,6.0,1.5,0
2024-09-24,Sanduíche natural,Lanches,63,14.0,5.5,0
2024-09-24,Sonho,Doces,52,6.0,1.9,0
2024-09-24,Suco de laranja natural,Bebidas,64,9.0,3.0,0
2024-09-24,Torta de limão (fatia),Doces,24,11.0,3.5,0
2024-09-25,Baguete,Pães,27,8.0,2.6,0
2024-09-25,Bolo de cenoura (fatia),Doces,26,7.0,2.0,0
2024-09-25,Brigadeiro,Doces,133,3.0,0.9,0
2024-09-25,Coxinha,Salgados,116,7.5,2.3,0
2024-09-25,Croissant,Pães,27,7.0,2.4,0
2024-09-25,Empada de frango,Salgados,98,7.0,2.2,0
2024-09-25,Esfiha de carne,Salgados,86,6.5,2.0,0
2024-09-25,Misto quente,Lanches,21,9.0,3.0,0
2024-09-25,Pudim (fatia),Doces,16,10.0,3.2,0
2024-09-25,Pão de batata,Salgados,84,6.0,1.8,0
